Date,Distance,Trailing365
2013-02-08,0.0,128.0416
2013-02-09,0.0,128.0416
2013-02-10,0.0,128.0416
2013-02-11,0.0,128.0416
2013-02-12,5.01,133.0516
2013-02-13,0.0,133.0516
2013-02-14,0.0,133.0516
2013-02-15,0.0,133.0516
2013-02-16,0.0,133.0516
2013-02-17,0.0,133.0516
2013-02-18,8.4002,141.4518
2013-02-19,0.0,141.4518
2013-02-20,0.0,141.4518
2013-02-21,0.0,141.4518
2013-02-22,0.0,141.4518
2013-02-23,0.0,141.4518
2013-02-24,0.0,141.4518
2013-02-25,10.5711,152.0229
2013-02-26,0.0,152.0229
2013-02-27,0.0,152.0229
2013-02-28,0.0,152.0229
2013-03-01,0.0,152.0229
2013-03-02,0.0,152.0229
2013-03-03,0.0,152.0229
2013-03-04,10.2385,162.26139999999998
2013-03-05,0.0,162.26139999999998
2013-03-06,0.0,162.26139999999998
2013-03-07,0.0,162.26139999999998
2013-03-08,0.0,162.26139999999998
2013-03-09,0.0,162.26139999999998
2013-03-10,0.0,162.26139999999998
2013-03-11,0.0,162.26139999999998
2013-03-12,0.0,162.26139999999998
2013-03-13,0.0,162.26139999999998
2013-03-14,0.0,162.26139999999998
2013-03-15,0.0,162.26139999999998
2013-03-16,0.0,162.26139999999998
2013-03-17,0.0,162.26139999999998
2013-03-18,0.0,162.26139999999998
2013-03-19,10.6206,172.882
2013-03-20,0.0,172.882
2013-03-21,3.9021999999999997,176.7842
2013-03-22,0.0,176.7842
2013-03-23,0.0,176.7842
2013-03-24,0.0,176.7842
2013-03-25,0.0,176.7842
2013-03-26,10.1031,186.88729999999998
2013-03-27,0.0,186.88729999999998
2013-03-28,0.0,186.88729999999998
2013-03-29,0.0,186.88729999999998
2013-03-30,0.0,186.88729999999998
2013-03-31,0.0,186.88729999999998
2013-04-01,0.0,186.88729999999998
2013-04-02,0.0,186.88729999999998
2013-04-03,0.0,186.88729999999998
2013-04-04,0.0,186.88729999999998
2013-04-05,0.0,186.88729999999998
2013-04-06,0.0,186.88729999999998
2013-04-07,0.0,186.88729999999998
2013-04-08,2.5854,189.4727
2013-04-09,0.0,189.4727
