"Distance_km","Pace_min_km"
5.0287,4.99151442547669
1.9219,6.23519142037661
12.1005,7.22438953908395
6.6489,6.22122682593007
5.0535,4.90773458971339
2.4858,5.27593120185713
5.1934,5.9206631142688
9.0309,6.0146758089739
2.4904,6.47249190938511
5.07,5.12820512820513
2.6124,5.59471858565514
15.3983,7.04423781346858
7.0467,5.98874116660678
6.0138,5.79307148650214
5.1166,6.15006150061501
6.0077,5.916459590581
8.2944,5.94813228646205
6.4967,6.20732464307883
14.5746,5.99520383693046
7.0599,5.74910888812234
6.8841,5.63063063063063
6.0619,6.156877231868
3.8924,6.29405840886203
6.3726,5.79307148650214
6.3333,5.84180394905947
10.5716,5.81125058112506
1.9827,7.72678102302581
5.01,5.42888165038002
13.1521,6.11620795107034
5.0108,5.65163332203007
5.8841,5.81327752586908
2.905,6.48760866744518
1.9096,7.96685787125558
7.9343,5.73921028466483
6.6825,5.99736116108912
8.794,6.08272506082725
5.018,5.34016874933248
6.3459,6.43252283545607
21.3204,5.83158385817588
1.0123,5.77901063337957
5.2458,5.3248136315229
10.356,6.00384245917387
5.0173,5.90388475616956
7.0781,5.93542260208927
2.061,7.52105896510229
22.9187,6.18429189857761
5.4599,6.04741170778907
5.1227,5.9206631142688
5.5307,5.50600154168043
10.1647,6.18429189857761
7.1126,5.98229241445322
5.0732,4.90196078431373
2.1452,5.66315551025031
13.4528,6.1751265900951
10.0505,5.33333333333333
1.1113,5.60978346235835
12.644,6.08050589809072
7.0597,6.10948191593353
6.7646,6.05400169512047
7.8888,5.74910888812234
8.6984,5.58721644876522
16.428,6.36375206821942
1.9707,7.66283524904215
7.5642,6.65601703940362
12.1261,7.73036487322202
21.5092,6.30119722747322
9.6194,6.33713561470215
7.0481,5.96089651883643
6.8711,6.12519906896974
8.7454,6.69612963706977
6.8073,6.27746390458255
10.2709,5.95876534382076
8.6991,5.93119810201661
16.5888,6.46245314721468
7.7495,6.1705541157596
8.6828,6.32751202227284
9.2253,6.36132315521628
18.3007,6.16827041697508
7.1497,5.96729920038191
7.7052,6.08272506082725
8.3709,6.69075337883046
16.6243,6.2142679592344
6.8692,6.11396429444852
6.0918,6.2165858510506
6.8715,5.60600964233659
13.3814,6.15006150061501
5.2532,6.2375249500998
5.5705,6.00817111271329
8.4315,5.93965312425754
8.4602,6.26330953275711
16.5371,6.2165858510506
2.6591,5.52242102937928
6.9258,5.55185431934266
7.2421,8.56457690990065
7.0383,6.18429189857761
3.3241,5.64588979223126
5.4643,6.16827041697508
13.3617,7.49063670411985
4.2423,6.10053684724256
7.092,6.08939227865059
13.6147,7.65228037955311
12.4921,6.15233173372708
4.6637,5.87889476778366
1.4914,6.06722485135299
8.346,7.01459034792368
10.1033,5.7058085130663
5.0739,5.29436679373147
2.2418,5.9545075622246
8.3074,6.12519906896974
6.4761,6.8054988430652
8.0166,6.04302634759488
9.7925,6.7367286445702
6.2885,6.06060606060606
5.0167,5.21648408972353
1.1273,5.76701268742791
2.031,7.73036487322202
5.1421,7.66283524904215
7.3662,7.36811081638668
7.8871,6.16598840794179
5.0168,5.98229241445322
7.3831,6.87285223367698
6.7626,7.11035267349261
12.0281,6.2235499128703
8.2345,6.60327522451136
13.9496,9.21828908554572
3.3661,6.84743905779239
8.3658,6.73945275643618
7.164,5.9694364851958
10.6444,6.32031348754898
11.3115,6.50533437418683
10.0314,5.94388968140751
9.1894,6.68002672010688
1.8083,6.49772579597141
10.0216,6.06501698204755
5.7325,6.22122682593007
1.9733,7.28756740999854
9.522,6.53851183470642
